<HTML>
<BODY>
<PRE>
Cue, Mss, Assoc, Rank, Strength
ANNUAL, 7, CHECK-UP, 6, .01
ANNUAL, 7, YEARBOOK, 8, .01
ANTEATER, 9, ARMADILLO, 9, .01
ANTELOPE, 10, CANTELOUPE, 4, .06
ANTIDOTE, 10, VACCINE, 11, .01
ANXIOUS, 19, AWAITING, 9, .02
ANXIOUS, 19, HYPERACTIVE, 16, .01
ANXIOUS, 19, RESTLESS, 18, .01
APARTMENT, 18, CONDO, 14, .01
APATHY, 10, INDIFFERENCE, 6, .03
APE, 10, SHIT, 9, .02
APEX, 16, INDEX, 5, .03
APEX, 16, HIGHEST, 13, .01
APEX, 16, PINNACLE, 15, .01
APPEARANCE, 16, DISAPPEARANCE, 15, .01
APPENDAGE, 11, GLOSSARY, 10, .01
APPLIANCE, 18, CAN OPENER, 11, .03
APPLIANCE, 18, HOUSEHOLD, 13, .02
APPLIANCE, 18, MIXER, 19, .01
APPOINTMENT, 13, ASSIGN, 12, .01
APPOINTMENT, 13, ONLY, 14, .01
APPRAISE, 14, ASSESS, 13, .01
AREA, 21, VICINITY, 16, .02
AREA, 21, RADIUS, 21, .01
ARENA, 20, BULL FIGHTING, 14, .01
ARENA, 20, COLISEUM, 15, .01
ARENA, 20, DOME, 16, .01
ARENA, 20, GLADIATOR, 18, .01
ARENA, 20, GREECE, 19, .01
ARGUMENT, 11, PERSUASION, 12, .01
ARM, 6, TURF, 7, .01
AROUND, 16, ABOUT, 4, .04
AROUND, 16, ACROSS, 14, .01
ARREST, 10, CONFINE, 9, .01
ARREST, 10, INCARCERATE, 10, .01
ARRIVE, 12, CAME, 9, .01
ARRIVE, 12, ON TIME, 13, .01
ARROGANT, 22, POMPOUS, 12, .03
ART, 17, COLORFUL, 17, .01
ARTIST, 12, MUSICIAN, 9, .01
ARTS, 19, LEISURE, 12, .02
ASCEND, 15, UPWARD, 13, .02
ASCEND, 15, GO UP, 15, .01
ASH, 12, CREMATION, 11, .01
ASHES, 12, CREMATION, 9, .02
ASHES, 12, URN, 11, .02
ASIA, 19, ASIAN, 12, .01
ASIA, 19, AUSTRALIA, 13, .01
ASK, 17, QUERY, 16, .01
ASLEEP, 15, REM, 13, .01
ASPHALT, 18, TURF, 19, .01
ASSAULT, 18, AGGRAVATED, 14, .01
ASSAULT, 18, ATTAIN, 15, .01
ASSAULT, 18, MUGGER, 19, .01
ASSISTANT, 11, AIDE, 7, .03
ASSUME, 23, ASSUMPTION, 18, .01
ASSUME, 23, PREJUDGE, 21, .01
ASSUME, 23, RESUME, 22, .01
ASTEROID, 13, ATARI, 11, .01
ASTEROID, 13, JETSONS, 12, .01
ASTEROID, 13, SOLAR SYSTEM, 14, .01
ASTROLOGY, 9, PISCES, 7, .02
ASTRONAUT, 11, COSMONAUT, 5, .03
ASTRONAUT, 11, ARMSTRONG, 8, .01
ASTRONAUT, 11, NASA, 10, .01
ATHLETE, 18, SPORTSMAN, 10, .02
ATHLETIC, 20, BUILT, 10, .02
ATLAS, 10, SHRUGGED, 7, .02
ATMOSPHERE, 14, STRATOSPHERE, 15, .01
ATOM, 12, PARTICLE, 10, .01
ATOM, 12, SMASHER, 13, .01
ATOMIC, 12, FIREBALL, 6, .02
ATOMIC, 12, PARTICLE, 12, .01
ATTACH, 20, VELCRO, 10, .02
ATTACH, 20, DISCONNECT, 14, .01
ATTACH, 20, MARRIED, 17, .01
ATTEND, 21, INVITED, 20, .01
ATTENTION, 29, CLASSROOM, 18, .01
ATTENTION, 29, UNDIVIDED, 30, .01
ATTIC, 21, DUSTY, 12, .02
ATTIC, 21, DOLLS, 16, .01
ATTITUDE, 19, ARROGANCE, 15, .01
ATTITUDE, 19, OUTLOOK, 20, .01
ATTRACTIVE, 16, GOOD LOOKING, 10, .02
ATTRACTIVE, 16, APPEALING, 15, .01
ATTRACTIVE, 16, LIKABLE, 16, .01
AURA, 18, AMBIENCE, 12, .01
AUTO, 7, MANUAL, 6, .01
AUTOMOBILE, 8, HONDA, 6, .02
AVERAGE, 19, C, 10, .03
AVOID, 17, AVERT, 12, .02
AVOID, 17, APPROACH, 17, .01
AWARE, 18, EYESIGHT, 15, .01
AWARENESS, 17, KEEN, 5, .04
AWARENESS, 17, ACUTE, 14, .01
AWAY, 17, FROM, 8, .03
AWKWARD, 16, EMBARRASSED, 13, .01
BACKPACK, 12, JANSPORT, 8, .02
BACKWARD, 7, REVERSE, 3, .03
BACTERIA, 19, AMOEBA, 14, .01
BADGE, 14, BROWNIE, 12, .01
BAG, 17, BAGGIE, 14, .02
BAIT, 8, LURE, 9, .01
BAKED, 14, ZITI, 15, .01
BALD, 10, HAIRLESS, 11, .02
BALLERINA, 14, FAG, 10, .02
BALLERINA, 14, PANSY, 13, .01
BALLET, 17, TIGHTS, 8, .02
BALLET, 17, LEOTARDS, 14, .01
BALLET, 17, NUTCRACKER, 15, .01
BAND, 14, MARCHING, 12, .01
BANDAGE, 14, SCRAPE, 8, .03
BANDAGE, 14, BOO-BOO, 10, .02
BANDAID, 14, BOO-BOO, 5, .07
BANDAID, 14, CURAD, 10, .02
BANDANNA, 18, HIPPIE, 13, .02
BANDANNA, 18, KERCHIEF, 14, .02
BANG, 17, BONG, 14, .01
BANG, 17, FIREWORK, 15, .01
BANG, 17, POW, 16, .01
BANJO, 14, STRUM, 8, .02
BANJO, 14, BLUEGRASS, 10, .01
BANJO, 14, HILLBILLY, 12, .01
BANKER, 9, BARNETT, 7, .02
BANKER, 9, DORK, 9, .01
BANNER, 6, STAR-SPANGLED, 4, .04
BARGAIN, 16, HUNTER, 13, .02
BARGAIN, 16, RIP-OFF, 15, .02
BARLEY, 18, HOPS, 7, .03
BARREL, 25, ROOT BEER, 24, .01
BARRIER, 14, BARRICADE, 7, .03
BARTENDER, 11, MIXER, 11, .01
BARTER, 12, CHARTER, 9, .02
BASE, 20, EXPONENT, 17, .01
BASEBALL, 18, MITT, 18, .01
BASHFUL, 4, DOPEY, 4, .03
BASKETBALL, 13, BLACKS, 12, .02
BASKETBALL, 13, PLAYOFF, 14, .01
BASS, 14, SOPRANO, 14, .01
BAT, 17, BELFRY, 8, .05
BAT, 17, RABIES, 17, .02
BATHTUB, 14, RUBBER DUCKY, 8, .03
BATTERY, 21, OPERATED, 8, .04
BATTERY, 21, AA, 14, .01
BATTERY, 21, DURACELL, 16, .01
BATTERY, 21, WALKMAN, 21, .01
BATTLE, 15, VIETNAM, 8, .02
BATTLE, 15, WATERLOO, 16, .01
BAY, 15, GULF, 9, .02
BEAKER, 14, MUPPETS, 10, .02
BEAR, 28, TEDDY BEAR, 10, .03
BEAR, 28, POLAR, 19, .01
BEAR, 28, IN MIND, 24, .01
BEAR, 28, USSR, 29, .01
BEARD, 13, SCRUFF, 13, .01
BEAST, 15, BESTIAL, 13, .01
BEAST, 15, BRUTE, 14, .01
BEAST, 15, SAVAGE, 16, .01
BEAT, 17, PULP, 17, .01
BEAVER, 16, CLEAVER, 5, .04
BEER, 22, MICHELOB, 13, .02
BEER, 22, BREW, 18, .01
BEER, 22, BUSCH, 19, .01
BEER, 22, COORS, 20, .01
BEETLE, 4, BAILEY, 5, .02
BEG, 18, PLEA, 14, .02
BEG, 18, FORGIVENESS, 17, .01
BEGGAR, 14, CHOOSIER, 7, .02
BEHAVIOR, 24, MODIFICATION, 21, .01
BEHIND, 16, IN BACK, 8, .03
BEHIND, 16, BARS, 13, .01
BEHIND, 16, BESIDE, 14, .01
BEING, 13, AM, 7, .03
BEING, 13, ALIEN, 10, .02
BEING, 13, SUPREME, 13, .01
BELIEF, 20, BETRAYAL, 10, .01
BELIEVE, 23, CREDIBLE, 15, .01
BELL, 11, TOLLS, 7, .04
BELLY, 12, GUT, 9, .03
BELLY, 12, TUMMY, 12, .01
BENCH, 14, JOHNNY, 6, .04
BEND, 17, STRAIGHTEN, 9, .04
BEND, 17, PLY, 16, .01
BENEATH, 11, UNDERNEATH, 12, .01
BENT, 14, TWISTED, 9, .03
BENT, 14, TURNED, 10, .02
BET, 10, DOGS, 10, .01
BET, 10, JAI ALAI, 11, .01
BETTER, 7, YET, 8, .01
BEYOND, 20, LIMITS, 17, .01
BIAS, 15, DISCRIMINATE, 14, .01
BIAS, 15, PARTIAL, 15, .01
BIAS, 15, SEXIST, 16, .01
BICYCLE, 15, TEN-SPEED, 14, .02
BICYCLE, 15, MOPED, 15, .01
BIKE, 18, TEN SPEED, 9, .03
BIKE, 18, SPOKES, 14, .02
BINDER, 12, RINGS, 11, .01
BIOLOGY, 22, DISSECT, 15, .02
BIOLOGY, 22, ZOOLOGY, 18, .02
BIRD, 23, MACAW, 23, .01
BIRTH, 13, DEFECT, 13, .01
BIRTHDAY, 15, KATHY, 14, .01
BISHOP, 16, ARCHBISHOP, 9, .01
BISHOP, 16, ROOK, 15, .01
BITE, 19, BITS, 14, .01
BLACKBERRY, 16, WINE COOLER, 10, .03
BLAME, 22, NO ONE, 18, .01
BLAME, 22, SOMEONE, 23, .01
BLANK, 17, WHILE, 5, .05
BLAST, 19, TAKE OFF, 20, .01
BLEACH, 15, DYE, 12, .02
BLEACH, 15, CLEANSER, 13, .01
BLEND, 12, MIXER, 4, .03
BLESS, 18, DIVINE, 13, .01
BLIND, 19, VENETIAN, 20, .01
BLOCK, 27, BARRICADE, 14, .03
BLOCK, 27, BUSTER, 17, .02
BLOCK, 27, CINDER, 22, .01
BLONDE, 15, BIMBO, 7, .03
BLONDE, 15, AIRHEAD, 15, .01
BLOOD, 20, GUTS, 10, .02
BLOOD, 20, HEMOGLOBIN, 13, .01
BLOOD, 20, TRANSFUSION, 18, .01
BLOOM, 7, SPROUT, 7, .02
BLOSSOM, 13, WILT, 13, .01
BLOSSOM, 13, WITHER, 14, .01
BLUE, 14, AZURE, 10, .01
BLUEJAY, 6, TORONTO, 5, .02
BLUEPRINT, 20, SCHEMATIC, 19, .01
BLUFF, 15, COVER UP, 10, .02
BLUNT, 20, TO THE POINT, 13, .02
BLUNT, 20, OUTSPOKEN, 18, .01
BLUNT, 20, PHILLIES, 19, .01
BLUR, 16, HAZY, 12, .02
BLUR, 16, CAN'T SEE, 16, .01
BLUR, 16, STREAK, 17, .01
BOARD, 21, 2 X 4, 12, .01
BOARD, 21, DIRECTORS, 18, .01
BOG, 17, BOGGLE, 13, .01
BOG, 17, CRANBERRY, 15, .01
BOIL, 15, SIMMER, 10, .02
BOLD, 20, OUTSPOKEN, 15, .02
BOLD, 20, BRASH, 17, .01
BOLD, 20, NOTICEABLE, 20, .01
BOMB, 17, HIROSHIMA, 10, .02
BOND, 23, JAMES, 2, .11
BOND, 23, BAIL, 12, .02
BOND, 23, IONIC, 19, .01
BONDAGE, 20, KINKY, 8, .04
BONDAGE, 20, HANDCUFF, 14, .02
BONDAGE, 20, SADISTIC, 20, .01
BONE, 19, T-BONE, 12, .02
BONE, 19, FEMUR, 14, .01
BOOK, 15, PAPERBACK, 15, .02
BOOKBAG, 12, RUCKSACK, 12, .01
BOOM, 17, POW, 10, .04
BOOM, 17, FIRECRACKER, 17, .01
BOOT, 13, COMBAT, 10, .02
BOOT, 13, LACES, 11, .01
BOOTH, 18, LINCOLN, 11, .03
BOOTH, 18, JOHN, 19, .01
BOOZE, 11, ALCOHOLIC, 7, .01
BORING, 16, UNINTERESTING, 10, .03
BORING, 16, BLAND, 15, .01
BORING, 16, REPETITIVE, 17, .01
BOSS, 19, OVERSEER, 18, .01
BOTHER, 18, PESTER, 11, .02
BOTHER, 18, HARASS, 14, .01
BOTHER, 18, NUISANCE, 18, .01
BOTTOM, 15, OCEAN FLOOR, 14, .01
BOTTOM, 15, SEA FLOOR, 16, .01
BOULDER, 8, COLORADO, 3, .07
BOULEVARD, 9, BAYSHORE, 5, .01
BOULEVARD, 9, HOOKERS, 8, .01
BOUNCE, 15, SOFTENER, 8, .02
BOWLING, 13, FOR DOLLARS, 9, .02
BOXER, 14, TYSON, 9, .05
BOXER, 14, ALI, 13, .02
BOYS, 9, SCOUTS, 10, .01
BRACELET, 13, ANKLET, 8, .03
BRAIN, 17, CEREBRUM, 12, .02
BRAND, 16, GENERIC, 5, .03
BRAND, 16, X, 8, .03
BRAND, 16, LEVIS, 14, .01
BRAND, 16, NABISCO, 15, .01
BRANDY, 10, SNIFTER, 7, .03
BRAVERY, 16, CHIVALRY, 15, .01
BREAK, 26, BUST, 18, .02
BREAKABLE, 10, UNBREAKABLE, 5, .03
BREATH, 13, GASP, 13, .02
BREATHE, 16, CO2, 12, .01
BREED, 10, SIRE, 11, .01
BREEZE, 10, ZEPHYR, 11, .01
BREEZEWAY, 20, WINDY, 11, .03
BREEZEWAY, 20, CAUSEWAY, 14, .02
BREEZEWAY, 20, COOPER, 17, .01
BRIBE, 18, PAYOFF, 13, .02
BRIBE, 18, SWINDLE, 17, .02
BRICK, 14, MORTAR, 12, .01
BRIEF, 10, CONCISE, 8, .01
BRIEFCASE, 19, ATTACHE, 9, .04
BRIEFCASE, 19, BUSINESSMAN, 10, .04
BRIEFCASE, 19, TOTE BAG, 20, .01
BRILLIANT, 13, MAGNIFICENT, 11, .01
BRISK, 13, CHILLY, 10, .01
BRISK, 13, SUDDEN, 14, .01
BRITANNICA, 7, BRITAIN, 5, .02
BRITTLE, 15, RUFF, 12, .02
BROAD, 16, SHOULDERS, 5, .04
BROAD, 16, DAY LIGHT, 12, .01
BROAD, 16, SPECTRUM, 15, .01
BROIL, 13, BURGER, 13, .01
BROOK, 6, BABBLING, 6, .03
BRUNETTE, 9, RED HEAD, 6, .02
BUCK, 11, ROGERS, 8, .03
BUDGET, 12, RENT-A-CAR, 9, .02
BUDGET, 12, RENTAL, 10, .02
BUDGET, 12, SPENDING, 13, .01
BUFFALO, 21, STANCE, 14, .02
BUFFALO, 21, RHINOCEROS, 21, .01
BUGGY, 11, VOLKSWAGON, 8, .03
BUGLE, 13, REVEILLE, 11, .02
BUILD, 18, ASSEMBLE, 14, .01
BUILDING, 20, EDIFICE, 17, .02
BULLETIN, 12, ANNOUNCEMENT, 9, .01
BULLY, 20, BUTTHEAD, 9, .02
BULLY, 20, PUNK, 17, .01
BULLY, 20, USF, 21, .01
BUMP, 17, NUDGE, 10, .03
BUMP, 17, JOLT, 18, .01
BUMPER, 8, FENDER, 5, .02
BUMPER, 8, CHROME, 7, .01
BUNNY, 7, BUGS BUNNY, 4, .03
BUNNY, 7, PLAYBOY, 6, .02
BURDEN, 17, HASSLE, 9, .03
BURGLAR, 19, PROWLER, 20, .01
BURGLARY, 13, B & E, 8, .02
BURIAL, 13, CREMATE, 10, .02
BURN, 20, SCORCH, 13, .02
BURST, 12, RUPTURE, 13, .01
BUS, 17, TRANSPORT, 13, .02
BUSH, 15, QUAYLE, 14, .02
BUSINESS, 21, ENTERPRISE, 9, .03
BUSY, 24, SPEEDY, 24, .01
BUTCHER, 12, CLEAVER, 11, .01
BUTCHER, 12, SLAUGHTER, 13, .01
BUTTER, 15, PARKAY, 7, .02
BUTTER, 15, CREAMY, 12, .01
BUTTER, 15, OLEO, 16, .01
BUYER, 8, CLOTHING, 4, .03
BUYER, 8, PURCHASER, 7, .02
BUZZ, 13, BIZZ, 11, .01
CABIN, 9, CRUISER, 9, .01
CABLE, 8, HBO, 7, .01
CACTUS, 15, ARIZONA, 13, .01
CAFE, 15, AU LAIT, 7, .02
CAFE, 15, CAPPUCCINO, 9, .01
CAFE, 15, HARD ROCK, 13, .01
CAFETERIA, 9, MORRISON'S, 9, .01
CAFFEINE, 13, COLA, 9, .01
CAFFEINE, 13, JOLT, 11, .01
CAFFEINE, 13, MOUNTAIN DEW, 12, .01
CAFFEINE, 13, STIMULANT, 14, .01
CAGE, 18, ENCLOSE, 10, .02
CAGE, 18, CONFINE, 14, .01
CAGE, 18, RESTRAINT, 18, .01
CALCIUM, 12, POTASSIUM, 8, .02
CALCIUM, 12, CARBONATE, 9, .01
CALCIUM, 12, DEFICIENCY, 10, .01
CALCIUM, 12, TABLETS, 12, .01
CALCULATE, 15, MANIPULATE, 11, .01
CALM, 14, COLLECTED, 10, .03
CALORIES, 11, KILO, 12, .01
CAMERA, 8, KODAK, 8, .03
CAMP, 19, DAVID, 7, .03
CAMPING, 17, BUGS, 14, .01
CAMPING, 17, CANOEING, 15, .01
CAN, 20, CAN'T, 10, .04
CANAL, 18, PANAMA, 3, .12
CANAL, 18, ERIE, 5, .07
CANAL, 18, SUEZ, 18, .01
CANDIDATE, 17, CONTESTANT, 8, .02
CANDIDATE, 17, COMPETITOR, 12, .01
CANDIDATE, 17, CONTENDER, 13, .01
CANDIDATE, 17, NOMINEE, 15, .01
CANDIDATE, 17, REPRESENTATIVE, 16, .01
CANE, 14, CRIPPLE, 12, .02
CANE, 14, MIAMI, 13, .02
CANVAS, 16, TARP, 6, .05
CANVASS, 17, TARP, 10, .03
CAPABILITY, 12, CAN DO, 9, .02
CAPE, 20, BATMAN, 8, .03
CAPE, 20, SHAWL, 13, .02
CAPE, 20, CANAVRAL, 15, .01
CAPTION, 19, HEADLINE, 11, .02
CAPTION, 19, COMICS, 14, .01
CAPTURE, 24, POW, 19, .02
CAR, 25, DATSUN, 13, .01
CAR, 25, PORSCHE, 18, .01
CAR, 25, TOYOTA, 25, .01
CARD, 21, CATALOG, 14, .02
CARD, 21, SHUFFLE, 21, .01
CARDINAL, 12, ST.LOUIS, 11, .03
CARE, 18, CARETAKER, 17, .01
CAREFUL, 14, DRIVING, 7, .02
CAREFUL, 14, WATCHFUL, 8, .02
CARESS, 17, FONDLE, 10, .03
CARING, 18, SHARING, 16, .01
CARING, 18, THOUGHTFUL, 17, .01
CARNIVAL, 14, CAROUSEL, 10, .02
CARNIVAL, 14, COTTON CANDY, 11, .02
CARNIVAL, 14, FERRIS WHEEL, 12, .01
CARNIVAL, 14, LIGHTS, 14, .01
CARPENTER, 18, HANDYMAN, 15, .01
CARPENTER, 18, KAREN, 17, .01
CARPET, 17, WALL-TO-WALL, 18, .01
CARRIAGE, 13, STROLLER, 9, .02
CARRIAGE, 13, CHARIOT, 12, .01
CARROT, 16, EYESIGHT, 16, .01
CARRY, 19, SET DOWN, 20, .01
CASHIER, 9, PUBLIX, 6, .03
CAST, 20, CHARACTERS, 15, .01
CASTLE, 16, FORTRESS, 11, .02
CASUAL, 20, DRESSY, 9, .03
CASUAL, 20, INFORMAL, 11, .03
CASUAL, 20, LAID BACK, 13, .02
CATCH, 19, 22, 6, .04
CATCH, 19, CAUGHT, 12, .02
CATERPILLAR, 10, CENTIPEDE, 9, .03
CATHOLIC, 16, LUTHERAN, 16, .01
CATHOLIC, 16, UNIVERSAL, 17, .01
CATTLE, 14, PROD, 12, .02
CAUSE, 19, WORTHY, 20, .01
CAVITY, 9, FILLING, 6, .03
CELEBRATE, 10, OCCASION, 9, .01
CELEBRATION, 8, FIREWORKS, 8, .01
CELL, 16, BARS, 10, .02
CELL, 16, ORGANISM, 12, .02
CELLO, 13, STRINGS, 13, .01
CEMETERY, 11, GRAVEYARD, 9, .02
CERAMIC, 13, FIGURINE, 9, .03
CEREMONY, 16, INITIATION, 14, .01
CHAIR, 14, ROCKER, 10, .02
CHALLENGE, 21, CHALLENGER, 16, .01
CHAMPION, 14, SWEATSHIRT, 15, .01
CHANGE, 15, ADAPT, 9, .02
CHANGE, 15, REDO, 14, .02
CHANNEL, 13, C.B., 7, .03
CHANNEL, 13, TUNER, 14, .01
CHAOS, 22, PANDEMONIUM, 14, .02
CHAOS, 22, COMMOTION, 16, .01
CHAOS, 22, HOOPLA, 20, .01
CHAOS, 22, MADNESS, 21, .01
CHAPTER, 8, ELEVEN, 6, .01
CHARACTERISTIC, 18, ASPECT, 12, .01
CHARACTERISTIC, 18, ATTRIBUTE, 13, .01
CHARACTERISTIC, 18, CLASSIFIED, 16, .01
CHARCOAL, 11, BRIQUETTES, 9, .02
CHARITY, 20, M.S., 17, .01
CHARITY, 20, TELETHON, 20, .01
CHARM, 18, SUAVE, 12, .02
CHARM, 18, CHARISMA, 13, .01
CHARM, 18, FLATTER, 14, .01
CHART, 18, POSTER, 16, .01
CHASE, 14, VISA, 7, .03
CHASE, 14, PURSUE, 8, .03
