TARGET, BSSQ, BSGQ, ESSQ*, ESGQ, BFQ, BFSS, BFSG, EFQ, EFSS, EFSG, TSS, TFR, TCON, TH, TPS, TMC, TPR, TRSG, TUC, TUI
BAKED, ¥, ¥, ¥, ¥, BA---, 26, .01, , ¥, ¥, 14, 8, 4.35, , V, 1.15, .23, .027, 1, .93
BALANCE, ¥, ¥, ¥, ¥, , ¥, ¥, ---ANCE, 7, .14, 13, 32, ¥, , N, ¥, ¥, ¥, 0, .69
BALD, 9, .02, ¥, ¥, BA--, 13, .10, , ¥, ¥, 10, 5, 5.15, , AJ, 1.00, .22, .011, 1, .90
BALL, 9, .73, 15, .24, BA--, 13, .09, -ALL, 7, .18, 17, 110, 6.08, N, N, 1.76, .65, .131, 1, 1.00
BALLERINA, 14, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 14, 1, ¥, , N, 1.50, .33, .017, 1, .86
BALLET, 14, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 17, 45, 5.23, , N, 2.00, .36, .058, 1, .82
BALLOON, ¥, ¥, 22, .01, , ¥, ¥, , ¥, ¥, 21, 10, 6.10, , N, 1.10, .10, .067, 1, 1.00
BALLOT, 14, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 7, 12, 6.29, , N, .71, .14, .026, 1, 1.00
BAN, ¥, ¥, 14, .05, , ¥, ¥, -AN, 9, .08, 19, 7, ¥, G, V, ¥, ¥, ¥, 0, .63
BANANA, ¥, ¥, ¥, ¥, BAN---, 10, .15, , ¥, ¥, 13, 4, 6.29, , N, 1.31, .77, .047, 1, 1.00
BAND, ¥, ¥, 13, .16, BA--, 13, .01, , ¥, ¥, 14, 53, 5.83, P, N, 2.08, .46, .017, 1, .93
BANDAGE, ¥, ¥, ¥, ¥, , ¥, ¥, ----AGE, 25, .05, 14, 4, 6.35, , N, 3.25, .33, .017, 1, .86
BANDAID, ¥, ¥, 23, .01, , ¥, ¥, , ¥, ¥, 14, 0, ¥, , N, 3.75, .17, .012, 1, .86
BANDIT, 14, 0.00, 13, 0.00, BAN---, 10, .05, , ¥, ¥, 17, 3, ¥, , N, ¥, ¥, ¥, 0, .76
BANG, 14, .01, 12, .09, , ¥, ¥, , ¥, ¥, 17, 7, 4.20, G, N, 1.57, .57, .032, 1, .82
BANJO, 14, 0.00, ¥, ¥, BA---, 26, .01, , ¥, ¥, 14, 2, 6.33, , N, 2.27, .18, .013, 1, .79
BANK, ¥, ¥, 21, .05, BA--, 13, .01, -ANK, 5, .25, 6, 83, 5.69, N, N, .67, 1.00, .057, 1, 1.00
BANKER, ¥, ¥, ¥, ¥, BAN---, 10, .12, ---KER, 25, .07, 9, 5, 6.38, , N, 1.29, .14, .002, 1, .78
BANNER, ¥, ¥, ¥, ¥, BAN---, 10, .27, --NNER, 8, .19, 6, 8, 5.80, , N, .20, 0.00, 0.000, 1, .83
BAR, ¥, ¥, 10, .25, B--, 21, .01, -AR, 8, .23, 13, 82, 6.40, N, N, 2.23, .46, .013, 1, 1.00
BARK, ¥, ¥, 12, .36, , ¥, ¥, -ARK, 7, .41, 5, 14, 5.51, N, N, .20, .40, .007, 1, 1.00
BARN, ¥, ¥, 3, .27, BA--, 13, 0.00, -ARN, 5, .39, 13, 29, 6.68, , N, 1.77, .39, .022, 1, 1.00
BASE, ¥, ¥, 14, .04, BA--, 13, .03, -ASE, 4, .37, 20, 91, 4.34, N, N, .84, .32, .014, 1, .95
BASIC, ¥, ¥, 21, 0.00, , ¥, ¥, , ¥, ¥, 20, 171, ¥, , AJ, ¥, ¥, ¥, 0, .80
BASKET*, 14, .01, 4, .78, , ¥, ¥, ---KET, 11, .10, 19, 17, 5.93, G, N, .53, .37, .036, 1, 1.00
BASS, 14, .03, 16, .14, BA--, 13, .01, , ¥, ¥, 14, 16, 5.43, C, N, 2.15, .39, .054, 1, .93
BAT, 14, .07, 15, .12, B--, 21, .10, -AT, 9, .16, 17, 18, 5.60, N, N, 1.53, .33, .093, 1, .88
BATH, 14, .33, 6, .06, BA--, 13, .02, -ATH, 4, .29, 10, 26, 5.90, , N, 2.60, .60, .088, 1, 1.00
BATHROOM, 14, 0.00, 17, 0.00, , ¥, ¥, , ¥, ¥, 14, 18, ¥, , N, 2.00, .57, .126, 1, 1.00
BATTLE*, ¥, ¥, 6, .19, , ¥, ¥, -ATTLE, 4, .45, 15, 87, 5.16, , N, 1.46, .31, .015, 1, .87
BAY, ¥, ¥, 26, .05, BA-, 5, .07, , ¥, ¥, 15, 57, ¥, , N, 2.14, .14, .021, 1, .93
BE, ¥, ¥, 32, .02, , ¥, ¥, , ¥, ¥, 29, 6377, 2.21, , V, ¥, ¥, ¥, 0, .83
BEACH, ¥, ¥, 13, .24, , ¥, ¥, , ¥, ¥, 16, 61, 6.08, , N, 2.25, .75, .313, 1, 1.00
BEAD, ¥, ¥, 26, 0.00, BE--, 19, .02, -E-D, 21, .11, 20, 1, 5.61, T, N, 1.40, .05, .008, 1, 1.00
BEAKER*, ¥, ¥, 13, .44, , ¥, ¥, ---KER, 25, .02, 14, 2, ¥, , N, 2.85, .08, .004, 1, .93
BEAM, ¥, ¥, 17, .20, , ¥, ¥, -E-M, 9, .24, 13, 21, 4.70, N, N, 1.00, .39, .024, 1, 1.00
BEAN, ¥, ¥, 19, .10, BE--, 19, .17, , ¥, ¥, 19, 5, 6.00, , N, ¥, ¥, ¥, 0, .79
BEAR, ¥, ¥, 25, .08, , ¥, ¥, -EAR, 9, .11, 28, 57, 5.81, N, V, 2.08, .42, .116, 1, .86
BEARD, ¥, ¥, ¥, ¥, , ¥, ¥, B---D, 15, .08, 13, 26, 5.68, , N, 1.17, .33, .167, 1, .92
BEAST, ¥, ¥, 8, .23, , ¥, ¥, -EAST, 4, .46, 15, 7, 6.51, , N, 1.58, .33, .025, 1, .80
BEAT, ¥, ¥, 17, .22, BE--, 19, .14, -E-T, 18, .20, 17, 68, 3.67, G, V, 1.25, .50, .019, 1, .94
BEAUTY*, 5, .31, 6, .83, BE----, 24, .03, , ¥, ¥, 17, 71, 3.31, , N, 2.00, .29, .020, 1, 1.00
BEAVER, ¥, ¥, ¥, ¥, BE----, 22, .04, , ¥, ¥, 16, 2, 6.50, , N, 1.20, .20, .045, 1, .94
BECOME, ¥, ¥, 18, 0.00, BE----, 24, .04, , ¥, ¥, 24, 361, 2.66, , V, ¥, ¥, ¥, 0, .71
BED, 14, .50, 20, .43, , ¥, ¥, , ¥, ¥, 11, 127, 6.59, , N, 1.45, .64, .096, 1, 1.00
BEDROOM, 14, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 14, 52, 6.03, , N, 1.29, .14, .001, 1, 1.00
BEE, ¥, ¥, 33, .13, B--, 21, .22, --E, 24, .16, 7, 11, 5.93, , N, .43, 1.00, .481, 1, 1.00
BEEF, ¥, ¥, 8, .21, BE--, 19, .02, , ¥, ¥, 10, 32, 6.23, N, N, 1.80, .60, .075, 1, 1.00
BEER, ¥, ¥, 22, .10, BE--, 19, .04, -EER, 5, .45, 22, 34, 5.83, , N, 2.17, .67, .094, 1, .82
BEET, ¥, ¥, 17, .01, BE--, 19, .05, -E-T, 18, .05, 11, 2, 6.41, , N, 1.82, .09, .001, 1, 1.00
BEFORE, ¥, ¥, ¥, ¥, BE---, 24, .06, , ¥, ¥, 4, 1016, 2.52, , AD, ¥, ¥, ¥, 0, .50
BEG, 14, .02, 7, .24, , ¥, ¥, -EG, 4, .26, 18, 11, 2.96, , V, 1.44, .19, .125, 1, .89
BEGINNING, ¥, ¥, 25, 0.00, , ¥, ¥, , ¥, ¥, 4, 164, 2.43, , N, .50, 0.00, 0.000, 1, 1.00
BEHIND, ¥, ¥, 12, .15, BE----, 22, .02, , ¥, ¥, 16, 258, ¥, , AD, 1.54, .31, .016, 1, .81
BEING, ¥, ¥, ¥, ¥, , ¥, ¥, --ING, 13, .13, 13, 712, 2.28, W, N, 1.90, .20, .084, 1, .77
BELIEF, ¥, ¥, 8, .01, BE----, 24, .01, , ¥, ¥, 20, 64, 1.55, , N, 1.79, .26, .031, 1, .95
BELIEVE, ¥, ¥, 15, .01, , ¥, ¥, , ¥, ¥, 23, 200, 1.85, , V, 2.45, .27, .017, 1, .96
BELL, 14, .04, 16, .29, BE--, 19, .06, -E-L, 12, .14, 11, 18, 6.52, , N, .60, .50, .056, 1, .91
BELLY, ¥, ¥, ¥, ¥, , ¥, ¥, -ELLY, 3, .51, 12, 23, 6.04, , N, .50, .50, .014, 1, .83
BELONG, ¥, ¥, 12, 0.00, , ¥, ¥, , ¥, ¥, 18, 37, ¥, , V, ¥, ¥, ¥, 0, .67
BELOW, ¥, ¥, 35, 0.00, , ¥, ¥, , ¥, ¥, 9, 145, ¥, , AD, 1.56, .44, .319, 1, 1.00
BELT, ¥, ¥, 7, .20, BE--, 19, .04, -E-T, 18, .05, 11, 29, 5.98, T, N, 1.27, .46, .161, 1, 1.00
BENCH, ¥, ¥, 6, .27, , ¥, ¥, --NCH, 12, .08, 14, 35, 6.73, , N, 2.08, .23, .013, 1, .93
BEND, 14, .01, 17, .31, , ¥, ¥, , ¥, ¥, 17, 24, 3.58, W, V, 1.20, .40, .027, 1, .88
BENT, 14, .02, 14, .10, , ¥, ¥, -E-T, 24, .01, 14, 34, ¥, , AJ, .92, .25, .027, 1, .86
BEST, 14, .04, 20, .38, BE--, 19, .06, -EST, 7, .42, 10, 351, 2.67, , AJ, 1.10, .50, .302, 1, 1.00
BET, 14, .10, 19, .30, B--, 21, .03, -ET, 10, .27, 10, 20, 3.28, , N, 1.25, .25, .099, 1, .80
BETTER, 14, .08, ¥, ¥, BE----, 24, .03, ----ER, 37, .02, 7, 414, 1.94, , AJ, 1.00, .50, .187, 1, .86
BETWEEN, ¥, ¥, 19, 0.00, , ¥, ¥, , ¥, ¥, 16, 730, ¥, , PP, ¥, ¥, ¥, 0, .81
BEVERAGE, 14, .02, ¥, ¥, , ¥, ¥, , ¥, ¥, 5, 9, 5.87, , N, 2.00, 0.00, 0.000, 1, 1.00
BEWARE, ¥, ¥, 25, 0.00, BE----, 22, .26, , ¥, ¥, 8, 3, 2.38, , V, 1.25, .25, .017, 1, 1.00
BEYOND, ¥, ¥, 15, .01, , ¥, ¥, , ¥, ¥, 20, 175, ¥, , PP, 1.00, .11, .014, 1, .95
BIBLE, ¥, ¥, ¥, ¥, BI---, 10, .01, , ¥, ¥, 8, 59, 5.81, , N, 2.50, .50, .024, 1, 1.00
BIG, ¥, ¥, 11, .18, B--, 21, .05, -IG, 7, .17, 9, 360, 2.83, , AJ, 1.44, .67, .293, 1, 1.00
BIKE, ¥, ¥, 11, .21, BI--, 9, .33, -IKE, 6, .39, 18, 0, ¥, , N, 1.19, .19, .033, 1, .89
BILL, ¥, ¥, 15, .14, BI--, 9, .10, -ILL, 11, .12, 16, 133, 5.36, N, N, 1.38, .38, .037, 1, 1.00
BIRD, ¥, ¥, 9, .13, BI--, 10, .03, -IR-, 11, .10, 23, 31, 5.77, , N, 1.45, .68, .198, 1, .96
BIRTH, ¥, ¥, 8, .36, , ¥, ¥, , ¥, ¥, 13, 66, 4.67, , N, .75, .17, .009, 1, .92
BIT, ¥, ¥, 13, .13, B _ _, 21, .02, -IT, 10, .08, 14, 101, 3.88, T, N, 1.43, .14, .012, 1, 1.00
BITE, ¥, ¥, 19, .15, BI--, 10, .37, --TE, 14, .10, 19, 10, 4.32, , V, 1.28, .39, .014, 1, .95
BITTER*, ¥, ¥, 9, .48, , ¥, ¥, , ¥, ¥, 9, 53, 4.05, T, AJ, 1.78, .56, .041, 1, 1.00
BLACK, 4, .93, 25, .01, BLA--, 7, .23, --ACK, 8, .25, 10, 203, 4.66, , AJ, .50, .50, .381, 1, 1.00
BLACKBERRY, 4, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 16, 3, ¥, , N, 2.07, .20, .004, 1, .94
BLADE, 5, .50, 23, .02, BLA--, 7, .01, , ¥, ¥, 9, 13, 5.80, , N, 1.89, .44, .112, 1, 1.00
BLAME, 5, .06, 15, .07, BLA--, 7, .10, --AME, 4, .39, 22, 34, 2.15, , V, 1.20, .30, .050, 1, .91
BLANK, 4, .02, 21, 0.00, BLA--, 7, .40, --ANK, 12, .24, 17, 14, 3.12, G, AJ, 1.38, .25, .006, 1, .94
BLAST, 4, .03, 9, .03, BLA--, 7, .10, --AST, 4, .36, 19, 15, ¥, G, N, 2.89, .17, .010, 1, .95
BLAZE, 5, .04, 20, 0.00, BLA--, 7, .06, , ¥, ¥, 6, 7, 4.97, , N, 1.67, .17, .001, 1, 1.00
BLEACH, 3, .01, 13, .01, , ¥, ¥, , ¥, ¥, 15, 5, 5.40, , V, 2.31, .31, .060, 1, .87
BLEND, 2, .02, 17, .03, , ¥, ¥, , ¥, ¥, 12, 9, ¥, , V, 1.27, .09, .064, 1, .92
BLENDER, 6, .01, ¥, ¥, , ¥, ¥, --ENDER, 3, .30, 17, 0, ¥, , N, ¥, ¥, ¥, 0, .59
BLESS, 6, .27, 20, .02, , ¥, ¥, , ¥, ¥, 18, 9, ¥, , V, 2.71, .06, .001, 1, .94
BLIND, 5, .45, 12, .01, BLI--, 5, .33, --IND, 2, .53, 19, 47, 4.39, , AJ, 1.61, .28, .038, 1, .95
BLOCK, ¥, ¥, 15, .01, , ¥, ¥, , ¥, ¥, 27, 66, 5.93, N, N, 1.50, .25, .011, 1, .89
BLOCKS, ¥, ¥, 14, 0.00, , ¥, ¥, , ¥, ¥, 16, 37, ¥, , N, ¥, ¥, ¥, 0, .81
BLOOD, 6, .10, 14, 0.00, , ¥, ¥, B---D, 15, .03, 20, 121, 6.55, , N, .53, .65, .123, 1, .85
BLOOM, ¥, ¥, 17, .01, , ¥, ¥, --OOM, 4, .26, 7, 12, 5.28, , N, 1.67, .33, .029, 1, .86
BLOT, ¥, ¥, 8, 0.00, BL--, 8, .03, , ¥, ¥, 14, 6, ¥, , N, 2.50, .14, .027, 1, 1.00
BLOUSE, ¥, ¥, 7, 0.00, , ¥, ¥, , ¥, ¥, 11, 1, 6.36, , N, 2.09, .27, .102, 1, 1.00
BLOW, ¥, ¥, 35, .01, BL--, 8, .24, --OW, 12, .06, 23, 33, 3.88, N, V, .74, .35, .041, 1, 1.00
BLUBBER, 6, .04, ¥, ¥, , ¥, ¥, , ¥, ¥, 4, 1, ¥, , N, 0.00, .25, .020, 1, 1.00
BLUE, ¥, ¥, 38, .04, BL--, 8, .49, --UE, 6, .41, 14, 143, 4.49, N, N, 1.69, .54, .203, 1, .93
BLUES, ¥, ¥, 11, 0.00, , ¥, ¥, , ¥, ¥, 17, 22, ¥, , N, ¥, ¥, ¥, 0, .82
BLUFF, 6, .22, 20, .03, , ¥, ¥, , ¥, ¥, 15, 8, ¥, W, V, .86, 0.00, 0.000, 1, .93
BLUNT, 6, .11, 10, .02, , ¥, ¥, , ¥, ¥, 20, 9, ¥, W, AJ, .47, .12, .004, 1, .85
BLUR, ¥, ¥, 20, .02, BL--, 8, .03, , ¥, ¥, 16, 3, ¥, , V, 2.23, .31, .008, 1, .81
BLUSH, 6, .01, 11, .01, , ¥, ¥, --USH, 7, .17, 10, 2, 4.59, , V, 1.00, .30, .095, 1, 1.00
