TARGET, K&F FREQ, Accessibility Index
MACHINE, 103, 39
WASH, 37, 39
FOOT, 70, 39
BRAIN, 45, 39
JUDGE, 77, 38
KNOW, 683, 38
DIE, 73, 38
VACATION, 47, 38
FAR, 427, 38
OVER, 1236, 38
ACCIDENT, 33, 38
FARM, 125, 38
LOT, 127, 38
WEAK, 32, 38
READ, 173, 38
BUSINESS, 392, 37
CHECK, 88, 37
WAY, 909, 37
MOON, 60, 37
BAND, 53, 37
BANK, 83, 37
WORLD, 787, 37
MARRIAGE, 95, 37
NAME, 294, 37
SHOES, 44, 37
NEWSPAPER, 65, 37
CUTE, 5, 37
NASTY, 5, 37
BITE, 10, 37
SMILE, 58, 37
STRAIGHT, 114, 37
TIE, 23, 37
NOTHING, 412, 37
STEAL, 5, 36
FUNNY, 41, 36
BROWN, 176, 36
KIND, 313, 36
TOUCH, 87, 36
LEGS, 58, 36
WIND, 63, 36
PIE, 14, 36
STRESS, 107, 36
SALT, 46, 36
SWEAT, 23, 36
EMPTY, 64, 36
FIRST, 1360, 36
JERK, 2, 36
TRAIN, 82, 36
BAG, 42, 36
UPSET, 14, 36
CAN, 1772, 36
GRADE, 35, 35
FEET, 283, 35
WILD, 56, 35
BUILD, 86, 35
BONE, 33, 35
SAND, 28, 35
ORDER, 376, 35
AREA, 323, 35
MOM, 3, 35
STONE, 58, 35
YARD, 35, 35
COP, 15, 35
COOKIE, 1, 35
LAWYER, 43, 34
TOOL, 40, 34
SHORT, 212, 34
JUMP, 24, 34
MUSCLE, 42, 34
KEEP, 264, 34
SUGAR, 34, 34
BUY, 70, 34
SOUP, 16, 34
DRUGS, 28, 34
KID, 61, 34
INSTRUMENT, 47, 34
GIFT, 33, 33
CUP, 45, 33
SECRET, 52, 33
SHY, 13, 33
WINE, 72, 33
OFFICE, 255, 33
SALAD, 9, 33
STATE, 808, 33
LION, 17, 33
BASKETBALL, 9, 33
WINDOW, 119, 33
TIGHT, 28, 33
PRESENT, 377, 33
SING, 34, 33
SQUARE, 143, 33
PULL, 51, 33
WANT, 329, 33
COAT, 43, 32
QUICK, 68, 32
SPEED, 83, 32
FLAG, 16, 32
ROUGH, 41, 32
NEEDLE, 15, 32
NEED, 360, 32
PARENT, 15, 32
HAT, 56, 32
WEIRD, 10, 32
FINISH, 39, 32
BOARD, 239, 32
THIEF, 8, 32
STRENGTH, 136, 32
NEWS, 102, 32
AMOUNT, 172, 32
HIDE, 22, 32
LAKE, 54, 32
INDIAN, 52, 32
FINGER, 40, 31
PRESIDENT, 382, 31
SAFE, 58, 31
GHOST, 11, 31
CARD, 26, 31
BEST, 351, 31
PANTS, 9, 31
CHRISTMAS, 27, 31
SPEAK, 110, 31
LEADER, 74, 31
LOW, 174, 31
DISEASE, 53, 31
NERVOUS, 24, 31
PLAN, 205, 31
BEAUTY, 71, 31
ACTION, 291, 31
TWO, 1412, 31
REASON, 241, 31
ICE CREAM, 45, 31
POOL, 111, 31
TASTE, 59, 30
ROPE, 15, 30
PSYCHOLOGY, 14, 30
RACE, 103, 30
LOSE, 58, 30
PIECE, 129, 30
RIVER, 165, 30
PART, 500, 30
THROW, 42, 30
FATHER, 183, 30
PENCIL, 34, 30
PHONE, 54, 30
PEACE, 198, 30
ROLL, 35, 30
BROKEN, 63, 30
HEAVY, 110, 30
BUTTER, 27, 30
SHOE, 14, 30
ISLAND, 167, 30
SHINE, 5, 30
OFF, 639, 30
TURN, 233, 30
YELL, 9, 30
ANGRY, 45, 30
HILL, 72, 30
DROP, 59, 30
TRUCK, 57, 30
SODA, 3, 30
FREEDOM, 128, 30
SILVER, 29, 29
LIQUID, 48, 29
BOSS, 20, 29
MEN, 763, 29
MAGAZINE, 39, 29
OPINION, 96, 29
DREAM, 64, 29
SAVE, 62, 29
FLOOR, 158, 29
LISTEN, 51, 29
ENERGY, 100, 29
GOAL, 60, 29
SIT, 67, 29
DEEP, 109, 29
PARK, 94, 29
HORN, 31, 29
AUTHORITY, 93, 29
LESS, 438, 29
TEAM, 83, 29
WOODS, 25, 29
WEATHER, 69, 29
BILL, 133, 29
BIBLE, 59, 29
MURDER, 75, 28
GARDEN, 60, 28
REST, 163, 28
FORGET, 54, 28
ACT, 283, 28
SNOB, 1, 28
TRUST, 52, 28
FALSE, 29, 28
LADY, 80, 28
RULE, 73, 28
FULL, 230, 28
SHAPE, 85, 28
WELL, 897, 28
ADD, 88, 28
SOLDIER, 39, 28
LAZY, 9, 28
GET, 750, 28
COFFEE, 78, 28
MORNING, 211, 28
FOREST, 66, 28
WORKER, 30, 28
PICK, 55, 27
JUICE, 11, 27
CHINA, 69, 27
BOTTLE, 76, 27
PIG, 8, 27
CLOUD, 28, 27
POLITICS, 69, 27
MUD, 32, 27
HONEST, 47, 27
SORE, 10, 27
INTELLIGENT, 26, 27
BEAR, 57, 27
NAIL, 6, 27
MINE, 59, 27
NEVER, 698, 27
FAIR, 77, 27
THING, 333, 27
PLAYER, 51, 27
STRING, 19, 27
CALL, 188, 26
FIND, 399, 26
EGG, 12, 26
SNAKE, 44, 26
HAPPINESS, 23, 26
GUILTY, 29, 26
MEASURE, 91, 26
LIFT, 23, 26
STUDENT, 131, 26
VISION, 56, 26
SINGLE, 172, 26
CARE, 162, 26
NOT, 4609, 26
CORN, 34, 26
HEALTH, 105, 26
MORE, 2216, 26
SCRATCH, 9, 26
CHEAT, 3, 26
PUSH, 37, 26
IRON, 43, 26
FUTURE, 227, 26
KITCHEN, 90, 26
BOMB, 36, 25
CORRECT, 52, 25
HEAVEN, 43, 25
CARRY, 88, 25
PAST, 281, 25
STRANGE, 84, 25
SANDWICH, 10, 25
WEALTH, 22, 25
SALE, 44, 25
SIZE, 138, 25
THIN, 92, 25
GROW, 63, 25
DATE, 103, 25
BEAT, 68, 25
TENNIS, 15, 25
RULER, 3, 25
TRY, 140, 25
FIGURE, 209, 25
ACTOR, 24, 25
ASK, 128, 25
HUNGRY, 23, 25
SEW, 6, 25
STYLE, 98, 25
CLUB, 145, 25
BLOW, 33, 25
WEDDING, 32, 25
START, 154, 25
CIGARETTE, 25, 25
FLORIDA, 20, 24
HERO, 52, 24
COKE, 4, 24
BREATH, 53, 24
HERE, 750, 24
SHOP, 63, 24
DESIRE, 79, 24
HOLY, 49, 24
CRACK, 21, 24
EGGS, 35, 24
DAD, 15, 24
KIDS, 32, 24
FAIL, 37, 24
SEPARATE, 79, 24
BATHROOM, 18, 24
STORM, 26, 24
SINK, 23, 24
PRIEST, 16, 24
WEAR, 36, 24
PRISON, 42, 24
ATTACK, 105, 24
ODOR, 14, 24
FOREVER, 39, 24
AGAINST, 626, 24
FOLLOW, 97, 24
DESERT, 21, 24
MATERIAL, 174, 24
CHEAP, 24, 24
JEANS, 1, 24
QUEEN, 41, 24
CELL, 65, 24
CROWD, 53, 24
SAY, 504, 24
BOWL, 23, 24
BEGINNING, 164, 24
RADIO, 120, 24
SERVICE, 315, 24
SPECIAL, 245, 24
JEWELRY, 3, 24
ROSE, 86, 24
SUIT, 48, 23
POTATO, 15, 23
RESTAURANT, 41, 23
MILITARY, 212, 23
CASE, 362, 23
MONKEY, 9, 23
MAJOR, 247, 23
RABBIT, 11, 23
BIOLOGY, 7, 23
SHAKE, 17, 23
MARK, 83, 23
HOLIDAY, 17, 23
JACKET, 33, 23
NATURE, 191, 23
SHOOT, 27, 23
ALWAYS, 458, 23
COMFORT, 43, 23
LOCK, 23, 23
TRICK, 15, 23
AIRPLANE, 11, 23
NECK, 81, 23
CLIMB, 12, 23
DIAMOND, 8, 23
COMPANY, 290, 23
YES, 144, 23
DONE, 320, 23
SELF, 40, 23
TAIL, 24, 23
JOKE, 22, 23
EXPERIMENT, 122, 23
PRICE, 108, 23
UNIQUE, 58, 23
VEGETABLES, 16, 23
ILLNESS, 20, 23
INSECT, 14, 23
KISS, 17, 23
SIGHT, 86, 23
OBJECT, 65, 23
INFORMATION, 269, 23
STEAK, 10, 23
EVENT, 81, 22
JOY, 40, 22
LEAF, 12, 22
WHEAT, 9, 22
SCARE, 3, 22
USA, 4, 22
HALL, 152, 22
CREATE, 54, 22
HEALTHY, 33, 22
SISTER, 38, 22
CHAIN, 50, 22
HEADACHE, 5, 22
FORCE, 230, 22
SET, 137, 22
SCREAM, 13, 22
ANNOY, 2, 22
STOMACH, 37, 22
SELL, 41, 22
CARING, 10, 22
RULES, 85, 22
LIQUOR, 43, 22
MAKE UP, 5, 22
OUCH, 0, 22
CAREFUL, 62, 22
WASTE, 35, 22
AMERICA, 194, 22
LANGUAGE, 109, 22
CATCH, 43, 22
BLOCK, 66, 22
EAR, 29, 22
LOOSE, 53, 22
TRUE, 231, 22
ENEMY, 88, 22
BREAKFAST, 53, 22
GUY, 51, 22
MONSTER, 6, 22
AROUND, 561, 22
BROTHER, 73, 22
GARBAGE, 7, 22
SHOPPING, 27, 21
NEAT, 21, 21
SORROW, 9, 21
IN, 9999, 21
PARENTS, 91, 21
TELEPHONE, 76, 21
SHELL, 22, 21
MEAL, 30, 21
FOOL, 37, 21
CRASH, 20, 21
BELIEF, 64, 21
WHAT, 1908, 21
LEATHER, 24, 21
DUST, 70, 21
TOY, 4, 21
PIN, 16, 21
STICKY, 9, 21
SPORTS, 49, 21
DRAW, 56, 21
COMMON, 233, 21
RAT, 6, 21
SKINNY, 9, 21
PIZZA, 3, 21
STAY, 113, 21
JUNGLE, 20, 21
PERIOD, 265, 21
ARTIST, 57, 21
TIRE, 22, 21
FEEL, 216, 21
TIGER, 7, 21
LIVE, 177, 21
WHEEL, 56, 21
WORRY, 55, 21
DIFFICULT, 161, 21
CEREAL, 17, 21
AGE, 227, 21
ALIVE, 57, 21
CROSS, 55, 21
BEND, 24, 21
CHEMICAL, 60, 21
CONFUSION, 44, 21
GENERAL, 497, 21
GIRLS, 142, 21
LATE, 179, 21
FOREIGN, 158, 21
GLASSES, 29, 20
PROFESSOR, 57, 20
MOUSE, 10, 20
CROOK, 3, 20
PRESSURE, 185, 20
PRIDE, 42, 20
FINE, 161, 20
TAPE, 35, 20
HAMMER, 9, 20
MAP, 13, 20
TASK, 60, 20
CENTER, 224, 20
WAVE, 46, 20
DEER, 13, 20
GRAB, 16, 20
PLATE, 22, 20
MAIL, 47, 20
VEGETABLE, 10, 20
DRIVER, 79, 20
GUARD, 48, 20
THEATER, 29, 20
COTTON, 38, 20
MALE, 37, 20
HUGE, 54, 20
FEW, 601, 20
TICKET, 16, 20
STAND, 148, 20
CAMERA, 36, 20
HARSH, 12, 20
MOLD, 45, 20
UNKNOWN, 47, 20
AVERAGE, 130, 20
SEAT, 54, 20
TOUGH, 36, 20
CHOICE, 113, 20
CONSTRUCTION, 95, 20
CANCER, 25, 20
HAMBURGER, 10, 20
BUTT, 12, 20
BEEF, 32, 20
BATH, 26, 20
AID, 130, 20
GEOMETRY, 9, 20
SUMMER, 134, 20
SPICE, 4, 20
DISH, 16, 20
OUTSIDE, 210, 20
ENGINE, 50, 20
DULL, 27, 20
CREAM, 20, 20
CLOCK, 20, 20
SILK, 12, 19
BUM, 7, 19
SUPPORT, 180, 19
INJURY, 27, 19
PROPERTY, 156, 19
STAGE, 174, 19
BLANKET, 30, 19
INK, 7, 19
RELATIVE, 46, 19
SORRY, 48, 19
BULL, 14, 19
BRUSH, 44, 19
SINGER, 10, 19
CASH, 36, 19
SHOWER, 15, 19
COMFORTABLE, 37, 19
BUTTON, 10, 19
SENTENCE, 34, 19
CAP, 27, 19
SUCCESS, 93, 19
SPOT, 57, 19
SURE, 264, 19
MESSY, 3, 19
SEXY, 2, 19
JOIN, 65, 19
NORMAL, 136, 19
AMERICAN, 569, 19
TEACH, 41, 19
DESK, 65, 19
ELEPHANT, 7, 19
NUMBERS, 125, 19
MAGIC, 37, 19
ALLOW, 72, 19
MODEL, 77, 19
VOICE, 226, 19
TOAST, 19, 19
VIEW, 186, 19
TEA, 28, 19
HELL, 95, 19
APARTMENT, 81, 19
APART, 57, 19
POND, 25, 19
MISTAKE, 34, 19
UNDER, 707, 19
MATCH, 41, 19
FACT, 447, 19
TRASH, 2, 19
PASS, 89, 19
USE, 589, 19
WINTER, 83, 19
WINNER, 8, 19
OFFICER, 101, 19
EXCITING, 29, 19
AFRAID, 57, 19
LIAR, 3, 19
FEMALE, 50, 19
MIRROR, 27, 19
PINK, 48, 19
LIST, 133, 19
AGAIN, 578, 19
THREAD, 15, 19
PROUD, 50, 18
ABILITY, 74, 18
BIKE, 0, 18
HALF, 275, 18
CEMENT, 11, 18
MEMORY, 76, 18
BICYCLE, 5, 18
PILLOW, 8, 18
FRENCH, 139, 18
BUSH, 14, 18
WOUND, 28, 18
HOTEL, 126, 18
FISHING, 32, 18
FANTASY, 14, 18
PERSONALITY, 48, 18
REAL, 260, 18
LUNCH, 33, 18
SPEECH, 61, 18
OKAY, 20, 18
ANXIOUS, 29, 18
RECEIVE, 76, 18
MEETING, 159, 18
SCHEDULE, 36, 18
WINGS, 27, 18
UNUSUAL, 63, 18
HALLOWEEN, 1, 18
BEE, 11, 18
FUR, 13, 18
ELECTRICITY, 26, 18
BUS, 34, 18
CAUSE, 130, 18
TEAR, 11, 18
DISGUSTING, 4, 18
CONTAINER, 10, 18
CATHOLIC, 84, 18
DUCK, 9, 18
PHYSICS, 22, 18
GUILT, 33, 18
HEIGHT, 35, 18
CARPET, 13, 18
FILM, 96, 18
COPY, 38, 18
JUNK, 8, 18
DENY, 47, 18
HISTORY, 286, 18
GAIN, 74, 18
HUNT, 10, 18
RELEASE, 37, 18
JAR, 16, 18
DIRECTION, 134, 18
CLOWN, 3, 17
BOTHER, 22, 17
LEAD, 129, 17
RUBBER, 15, 17
OWN, 772, 17
ROMANCE, 13, 17
BRAVE, 24, 17
TODAY, 284, 17
REMOVE, 58, 17
PLANET, 21, 17
MIX, 13, 17
GOLF, 34, 17
WILL, 2244, 17
BOYFRIEND, 0, 17
REJECT, 10, 17
PLAIN, 48, 17
TO, 0, 17
DIG, 10, 17
TRAFFIC, 68, 17
TREES, 101, 17
WORM, 4, 17
SPELL, 19, 17
DICTIONARY, 57, 17
STAMP, 8, 17
BANG, 7, 17
TOOTH, 20, 17
HUMAN, 299, 17
SPRING, 127, 17
CLOSET, 16, 17
WIRE, 42, 17
ODD, 44, 17
NUT, 15, 17
FIT, 75, 17
POP, 8, 17
PUNCH, 5, 17
GUITAR, 19, 17
BLIND, 47, 17
AGREE, 51, 17
PROTECTION, 68, 17
SKIRT, 21, 17
CARDS, 26, 17
CHEST, 53, 17
VASE, 4, 17
ACCEPT, 72, 17
CRUEL, 15, 17
CASTLE, 7, 17
BITCH, 0, 17
VIOLENT, 33, 17
SOCIAL, 380, 17
FRIENDS, 162, 17
SOCCER, 3, 17
GREASE, 9, 17
SYSTEM, 416, 17
FRIENDLY, 61, 17
DISLIKE, 14, 17
SHOT, 112, 17
ADULT, 25, 17
JUSTICE, 114, 17
HAVE, 3941, 17
FURNITURE, 39, 17
ILL, 39, 17
PURPLE, 13, 17
SAW, 352, 17
MASK, 9, 16
SIDE, 380, 16
CHANCE, 131, 16
VEHICLE, 35, 16
AWARD, 46, 16
PIANO, 38, 16
ITALIAN, 47, 16
STINK, 3, 16
STEREO, 12, 16
ELECTRIC, 68, 16
PILL, 15, 16
ALARM, 16, 16
NAVY, 37, 16
JELLY, 3, 16
FRONT, 221, 16
GUESS, 56, 16
WEED, 1, 16
FROG, 1, 16
STEEL, 45, 16
BREATHE, 7, 16
ON, 6742, 16
LOSER, 1, 16
SAUCE, 20, 16
DISAPPEAR, 11, 16
HANDS, 289, 16
COME, 630, 16
UNSURE, 1, 16
DOLLAR, 46, 16
SOUR, 3, 16
TYPE, 200, 16
ARGUE, 29, 16
FAITH, 111, 16
LOTS, 42, 16
EMOTION, 34, 16
PAINTING, 59, 16
ARGUMENT, 63, 16
GRAPE, 3, 16
ANNOYING, 6, 16
RESPECT, 125, 16
HOSE, 9, 16
VALUE, 200, 16
YUMMY, 0, 16
NORTH, 206, 16
AWAKE, 20, 16
TOMATO, 4, 16
TOILET, 13, 16
DESTRUCTION, 38, 16
FRAGILE, 10, 16
LONELY, 25, 16
HOPE, 178, 16
ATHLETE, 9, 16
ATTENTION, 179, 16
NOVEL, 59, 16
SPOON, 6, 16
SLIMY, 0, 16
PRIVATE, 191, 16
BIRTHDAY, 18, 16
BELL, 18, 16
WONDER, 67, 16
SWING, 24, 16
STORAGE, 41, 16
STOVE, 15, 16
LAST, 676, 16
HURRY, 36, 16
PURSE, 14, 16
COST, 229, 16
LAUNDRY, 5, 16
STRAWBERRY, 2, 16
BELIEVE, 200, 16
PUNISH, 3, 16
TEN, 165, 16
BAKE, 12, 16
HAM, 19, 16
BATTLE, 87, 15
OVEN, 7, 15
DEVIL, 25, 15
DISHONEST, 2, 15
SECOND, 373, 15
WOOL, 10, 15
PUZZLE, 10, 15
ACHE, 4, 15
STREAM, 51, 15
EXCUSE, 27, 15
GANG, 22, 15
DECISION, 119, 15
TEARS, 34, 15
EDUCATION, 214, 15
TRACK, 38, 15
COUPLE, 122, 15
CAPTAIN, 85, 15
GLUE, 8, 15
CHEW, 2, 15
NOTE, 127, 15
ORGAN, 26, 15
PURE, 56, 15
SNEEZE, 3, 15
FORWARD, 115, 15
PUNISHMENT, 21, 15
KITTEN, 5, 15
OPPOSITE, 81, 15
REWARD, 15, 15
TENSE, 15, 15
COWBOY, 16, 15
AFRICA, 45, 15
DANGEROUS, 46, 15
DESIGN, 114, 15
BRIDGE, 98, 15
WISE, 36, 15
CONCRETE, 48, 15
SHOCK, 31, 15
CONCERT, 39, 15
SCIENTIST, 17, 15
SOCKS, 7, 15
YOU, 3286, 15
ROOF, 59, 15
PIPE, 20, 15
LAB, 3, 15
JESUS, 64, 15
ALIKE, 20, 15
PAN, 16, 15
BOYS, 143, 15
COUGH, 7, 15
FICTION, 46, 15
PRAISE, 17, 15
FLOAT, 3, 15
FRESH, 82, 15
BOW, 15, 15
SHAME, 21, 15
TAN, 9, 15
WIFE, 228, 15
WAIT, 94, 15
STIFF, 21, 15
INTELLIGENCE, 48, 15
ALL, 3001, 15
BASKET, 17, 15
DRUM, 11, 15
DEPRESSED, 11, 15
BRAT, 0, 15
STATUE, 15, 15
WITCH, 5, 15
NEW YORK, 1, 15
STILL, 782, 15
LENGTH, 116, 15
POLE, 18, 14
WRITER, 73, 14
LIMIT, 48, 14
HUSBAND, 131, 14
PLENTY, 55, 14
ABOVE, 188, 14
ENGLAND, 157, 14
WEAPON, 42, 14
SOLID, 77, 14
POLITICIAN, 13, 14
DISASTER, 26, 14
COIN, 10, 14
ORGANIZE, 14, 14
FORGIVE, 24, 14
WRITING, 117, 14
TRIAL, 134, 14
HOMEWORK, 0, 14
POISON, 10, 14
MYSTERY, 39, 14
WOMEN, 195, 14
PRISONER, 7, 14
HEAR, 153, 14
SWEATER, 14, 14
SKI, 5, 14
SENSE, 311, 14
ITCH, 5, 14
BELT, 29, 14
BETTER, 414, 14
SWITCH, 43, 14
ILLEGAL, 9, 14
EXPLODE, 6, 14
FRIGHT, 2, 14
CHARGE, 122, 14
SIMILAR, 157, 14
NEAR, 198, 14
MAYBE, 134, 14
SILENT, 49, 14
WAGON, 55, 14
DRAWING, 40, 14
SLY, 5, 14
CHRISTIAN, 144, 14
CANDLE, 18, 14
BEHAVIOR, 96, 14
SEARCH, 66, 14
BLONDE, 20, 14
TENT, 20, 14
LOWER, 123, 14
UNHAPPY, 26, 14
GUM, 14, 14
POSITIVE, 74, 14
CHIEF, 119, 14
HANDLE, 53, 14
WONDERFUL, 53, 14
CURE, 28, 14
EDGE, 78, 14
SECTION, 189, 14
MELT, 4, 14
FRY, 2, 14
WISH, 110, 14
RELATIONSHIP, 88, 14
PERSONAL, 196, 14
PERFUME, 10, 14
PLEASE, 62, 14
THERE, 2724, 14
THICK, 67, 14
PIT, 14, 14
RISE, 102, 14
REGULAR, 83, 14
PEST, 4, 14
METHOD, 142, 14
DEGREE, 125, 14
KILLER, 21, 14
